06/21/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_PY1, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/21/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_PY1, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/21/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_PY1, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/21/21, s_m_P_FF_TO_ANAPLAN_CX_AS_RR_prog, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/21/21, s_m_P_FF_TO_ANAPLAN_CX_AS_ATR, Source_RowCount= 14473, Source_RejectedRowCount= 0, Target_RowCount= 14473, Target_RejectedRowCount= 0
06/21/21, s_m_P_FF_TO_ANAPLAN_CX_AS_RR_prog, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/21/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_PY1, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/21/21, s_m_P_FF_TO_ANAPLAN_CX_AS_RR_prog, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/21/21, s_m_P_FF_TS_IB_Bkgss_PY1, Source_RowCount= 477, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/21/21, s_m_P_FF_TS_IB_Bkgss_PY, Source_RowCount= 404867, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/21/21, s_m_P_FF_TS_IB_Bkgss_CY, Source_RowCount= 1515892, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/21/21, s_m_P_FF_TO_ANAPLAN_CX_TS_ATR, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= 4486488, Target_RejectedRowCount= 0
06/21/21, s_m_P_FF_TS_IB_Bkgss_CY1, Source_RowCount= 1348078, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/21/21, s_m_P_FF_TS_IB_Bkgss_CY2, Source_RowCount= 6100, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/22/21, s_m_P_FF_TO_ANAPLAN_CX_TS_ATR, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= 4486488, Target_RejectedRowCount= 0
06/22/21, s_m_P_FF_TO_ANAPLAN_CX_TS_ATR, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= 4486488, Target_RejectedRowCount= 0
06/23/21, s_m_P_FF_TO_ANAPLAN_CX_TS_ATR, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= 4486488, Target_RejectedRowCount= 0
06/23/21, s_m_P_FF_TO_ANAPLAN_CX_AS_RR_prog, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/23/21, s_m_P_FF_TO_ANAPLAN_CX_AS_RR_prog, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/23/21, s_m_P_FF_TO_ANAPLAN_CX_AS_RR_prog, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/23/21, s_m_P_FF_TS_IB_Bkgss_PY1, Source_RowCount= 477, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/23/21, s_m_P_FF_TO_ANAPLAN_CX_AS_ATR, Source_RowCount= 14473, Source_RejectedRowCount= 0, Target_RowCount= 14473, Target_RejectedRowCount= 0
06/23/21, s_m_P_FF_TO_ANAPLAN_CX_AS_RR_prog, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/23/21, s_m_P_FF_TS_IB_Bkgss_PY, Source_RowCount= 404867, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/23/21, s_m_P_FF_TS_IB_Bkgss_CY, Source_RowCount= 1515892, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/23/21, s_m_P_FF_TS_IB_Bkgss_CY1, Source_RowCount= 1348078, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/23/21, s_m_P_FF_TS_IB_Bkgss_CY2, Source_RowCount= 6100, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/23/21, s_m_P_FF_TO_ANAPLAN_CX_TS_ATR, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= 4486488, Target_RejectedRowCount= 0
06/23/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_PY1, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
